"Column 0: 8.3252, Column 1: 41.0, Column 2: 6.984126984126984, Column 3: 1.0238095238095237, Column 4: 322.0, Column 5: 2.5555555555555554, Column 6: 37.88, Column 7: -122.23, Column 8: 4.526 "
"Column 0: 8.3014, Column 1: 21.0, Column 2: 6.238137082601054, Column 3: 0.9718804920913884, Column 4: 2401.0, Column 5: 2.109841827768014, Column 6: 37.86, Column 7: -122.22, Column 8: 3.585 "
"Column 0: 7.2574, Column 1: 52.0, Column 2: 8.288135593220339, Column 3: 1.073446327683616, Column 4: 496.0, Column 5: 2.8022598870056497, Column 6: 37.85, Column 7: -122.24, Column 8: 3.521 "
"Column 0: 5.6431, Column 1: 52.0, Column 2: 5.8173515981735155, Column 3: 1.0730593607305936, Column 4: 558.0, Column 5: 2.547945205479452, Column 6: 37.85, Column 7: -122.25, Column 8: 3.413 "
"Column 0: 3.8462, Column 1: 52.0, Column 2: 6.281853281853282, Column 3: 1.0810810810810811, Column 4: 565.0, Column 5: 2.1814671814671813, Column 6: 37.85, Column 7: -122.25, Column 8: 3.422 "
"Column 0: 4.0368, Column 1: 52.0, Column 2: 4.761658031088083, Column 3: 1.1036269430051813, Column 4: 413.0, Column 5: 2.139896373056995, Column 6: 37.85, Column 7: -122.25, Column 8: 2.697 "
"Column 0: 3.6591, Column 1: 52.0, Column 2: 4.9319066147859925, Column 3: 0.9513618677042801, Column 4: 1094.0, Column 5: 2.1284046692607004, Column 6: 37.84, Column 7: -122.25, Column 8: 2.992 "
"Column 0: 3.12, Column 1: 52.0, Column 2: 4.797527047913447, Column 3: 1.061823802163833, Column 4: 1157.0, Column 5: 1.7882534775888717, Column 6: 37.84, Column 7: -122.25, Column 8: 2.414 "
"Column 0: 2.0804, Column 1: 42.0, Column 2: 4.294117647058823, Column 3: 1.1176470588235294, Column 4: 1206.0, Column 5: 2.026890756302521, Column 6: 37.84, Column 7: -122.26, Column 8: 2.267 "
"Column 0: 3.6912, Column 1: 52.0, Column 2: 4.970588235294118, Column 3: 0.9901960784313726, Column 4: 1551.0, Column 5: 2.172268907563025, Column 6: 37.84, Column 7: -122.25, Column 8: 2.611 "
"Column 0: 3.2031, Column 1: 52.0, Column 2: 5.477611940298507, Column 3: 1.0796019900497513, Column 4: 910.0, Column 5: 2.263681592039801, Column 6: 37.85, Column 7: -122.26, Column 8: 2.815 "
"Column 0: 3.2705, Column 1: 52.0, Column 2: 4.772479564032698, Column 3: 1.0245231607629428, Column 4: 1504.0, Column 5: 2.0490463215258856, Column 6: 37.85, Column 7: -122.26, Column 8: 2.418 "
"Column 0: 3.075, Column 1: 52.0, Column 2: 5.322649572649572, Column 3: 1.0128205128205128, Column 4: 1098.0, Column 5: 2.3461538461538463, Column 6: 37.85, Column 7: -122.26, Column 8: 2.135 "
"Column 0: 2.6736, Column 1: 52.0, Column 2: 4.0, Column 3: 1.0977011494252873, Column 4: 345.0, Column 5: 1.9827586206896552, Column 6: 37.84, Column 7: -122.26, Column 8: 1.913 "
"Column 0: 1.9167, Column 1: 52.0, Column 2: 4.262903225806451, Column 3: 1.0096774193548388, Column 4: 1212.0, Column 5: 1.9548387096774194, Column 6: 37.85, Column 7: -122.26, Column 8: 1.592 "
"Column 0: 2.125, Column 1: 50.0, Column 2: 4.242424242424242, Column 3: 1.071969696969697, Column 4: 697.0, Column 5: 2.640151515151515, Column 6: 37.85, Column 7: -122.26, Column 8: 1.4 "
"Column 0: 2.775, Column 1: 52.0, Column 2: 5.9395770392749245, Column 3: 1.0483383685800605, Column 4: 793.0, Column 5: 2.395770392749245, Column 6: 37.85, Column 7: -122.27, Column 8: 1.525 "
"Column 0: 2.1202, Column 1: 52.0, Column 2: 4.052805280528053, Column 3: 0.966996699669967, Column 4: 648.0, Column 5: 2.1386138613861387, Column 6: 37.85, Column 7: -122.27, Column 8: 1.555 "
